,question_number,statement,mapped_topics
0,46,"Empédocles estabelece quatro elementos corporais — fogo, ar, água e terra —, que são eternos e que mudam aumentando e diminuindo mediante mistura e separação; mas os princípios propriamente ditos, pelos quais aqueles são movidos, são o Amor e o Ódio. Pois é preciso que os elementos permaneçam alternadamente em movimento, sendo ora misturados pelo Amor, ora separados pelo Ódio.
O texto propõe uma reflexão sobre o entendimento de Empédocles acerca da arché, uma preocupação típica do pensamento pré-socrático, porque","Representação espacial,Pensamento político e ação do Estado,Características e transformações das estruturas produtivas,Diversidade cultural"
1,47,"Macrocefalia urbana pode ser entendida como a massiva concentração das atividades econômicas em algumas metrópoles que propicia o desencadeamento de processos descompassados: redirecionamento e convergência de fluxos migratórios, déficit no número de empregos, ocupação desordenada de determinadas regiões da cidade e estigmatização de estratos sociais, que comprometem substancialmente a segurança pública urbana.
O processo de concentração espacial apresentado foi estimulado por qual fator geográfico?","Conflitos e vida em sociedade,Formas de organização social,Características e transformações das estruturas produtivas,Domínios naturais e relação com o ambiente,Representação espacial"
2,48,"Entretanto, nosso amigo Basso tem o ânimo alegre. Isso resulta da filosofia: estar alegre diante da morte, forte e contente qualquer que seja o estado do corpo, sem desfalecer, ainda que desfaleça.
O excerto refere-se a uma carta de Sêneca na qual se apresenta como um bem fundamental da filosofia promover a","Pensamento político,Movimentos sociais,Filosofia"
3,49,"Quando os espanhóis chegaram à América, estava em seu apogeu o império teocrático dos Incas, que estendia seu poder sobre o que hoje chamamos Peru, Bolívia e Equador, abarcava parte da Colômbia e do Chile e alcançava até o norte argentino e a selva brasileira; a confederação dos Astecas tinha conquistado um alto nível de eficiência no vale do México, e no Yucatán, na América Central, a esplêndida civilização dos Maias persistia nos povos herdeiros, organizados para o trabalho e para a guerra. Os Maias tinham sido grandes astrônomos, mediram o tempo e o espaço com assombrosa precisão, e tinham descoberto o valor do número zero antes de qualquer povo da história. No museu de Lima, podem ser vistos centenas de crânios que receberam placas de ouro e prata por parte dos cirurgiões Incas.
As sociedades mencionadas deixaram como legado uma diversidade de","Diversidade cultural,conflitos e vida em sociedade,Os domínios naturais e a relação do ser humano com o ambiente,Formas de organização social,movimentos sociais,pensamento político e ação do Estado"
4,50,"Em Vitória (ES), no bairro Goiabeiras, encontramos as paneleiras, mulheres que são conhecidas pelos saberes/fazeres das tradicionais panelas de barro, ícones da culinária capixaba. A tradição passada de mãe para filha é de origem indígena e sofreu influência de outras etnias, como a afro e a luso. Dessa mistura, acredita-se que a fabricação das panelas de barro já tenha 400 anos. A fabricação das panelas de barro se dá em várias etapas, desde a obtenção de matéria-prima à confecção das panelas. As matérias-primas tradicionalmente utilizadas são provenientes do meio natural, como: argila, retirada do barreiro no Vale do Mulembá; madeira, atualmente proveniente das sobras da construção civil; e tinta, extraída da casca do manguezal, o popular mangue-vermelho.
Uma característica de práticas tradicionais como a exemplificada no texto é a vinculação entre os recursos do mundo natural e a","Diversidade cultural,Os domínios naturais e a relação do ser humano com o ambiente,Características e transformações das estruturas produtivas"
5,51,"[[placeholder]]
O mapa espacializa um recurso natural com alto potencial para ocorrência de:",",Topic4,Topic5

Os domínios naturais e a relação do ser humano com o ambiente;Os domínios naturais e a relação do ser humano com o ambiente."
6,52,"Nascidas no Líbano, as duas irmãs não puderam ser registradas no país, porque lá é exigido que os nascidos sejam filhos de pais e mães libaneses. Seus pais, de nacionalidade síria, também não puderam registrá-las no país de origem. Na Síria, crianças só são registradas por pais oficialmente casados, o que não era o caso deles.
Em situações como a apresentada no texto, as pessoas ao nascerem já se encontram na condição sociopolítica de","Diversidade cultural,conflitos e vida em sociedade"
7,53,"## TEXTO 1
Uma filosofia da percepção que queira reaprender a ver o mundo restituirá à pintura e às artes em geral seu lugar verdadeiro.
## TEXTO 2
Os grandes autores de cinema nos pareceram confrontáveis não apenas com pintores, arquitetos, músicos, mas também com pensadores. Eles pensam com imagens, em vez de conceitos. De que modo os textos sustentam a existência de um saber ancorado na sensibilidade?","Pensamento político e ação do Estado,Representação espacial"
8,54,"## TEXTO 1
Manda o Santo Ofício da Inquisição que ninguém, seja qual for seu estado, idade ou condição, pare com carroça, caleça ou montaria nem atrapalhe com mesas ou cadeiras o centro das ruas, que vão da Inquisição a São Domingos, nem atravesse a procissão em ponto algum da ida ou da volta, amanhã, 19 do corrente, em que se celebrará auto de fé. E também que nem nesse dia nem nos dos açoites ouse alguém atirar nos réus maçãs, pedras, laranjas nem outra coisa qualquer.
## TEXTO 2
Como acontece em todos os ritos, o sentido do auto da fé é conferido pela sequência dos atos que o compõem. Os lugares, as posturas, os gestos, as palavras são fixados previamente em toda a sua complexidade. Por isso, o auto da fé apresenta momentos fortes — durante a preparação, a encenação, o ato e a recepção — que convém seguir em seus pormenores.
O rito mencionado nos textos demonstra a capacidade da Igreja em","Diversidade cultural,conflitos e vida em sociedade; Representação espacial"
9,55,"## Possível trajeto do voo MH370 da Malaysia Airlines antes da queda, em 2014
[[placeholder]]
Considerando-se que a distância entre o local onde os destroços do avião foram avistados e a cidade de Perth é de 2 centímetros, a escala aproximada dessa representação cartográfica é:","Representação espacial,Características e transformações das estruturas produtivas"
